var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,label
3.0,5.0,0.0,4.0,1.0,1.0,0.5,0.4848,0.45,0.2239,0.031762295082
6.0,8.0,0.0,6.0,0.0,1.0,0.58,0.5455,0.64,0.1642,0.207991803279
12.0,5.0,1.0,2.0,0.0,2.0,0.22,0.2273,0.93,0.1343,0.00204918032787
9.0,11.0,0.0,5.0,1.0,2.0,0.68,0.6364,0.61,0.1045,0.285860655738
5.0,9.0,0.0,3.0,1.0,2.0,0.62,0.6061,0.69,0.194,0.311475409836
5.0,2.0,0.0,0.0,0.0,1.0,0.64,0.6061,0.73,0.2239,0.0614754098361
8.0,14.0,0.0,6.0,0.0,3.0,0.66,0.6212,0.65,0.2537,0.492827868852
2.0,5.0,0.0,6.0,0.0,3.0,0.2,0.2273,1.0,0.0896,0.00819672131148
7.0,10.0,0.0,4.0,1.0,2.0,0.82,0.8636,0.71,0.2239,0.078893442623
4.0,0.0,0.0,1.0,1.0,1.0,0.48,0.4697,0.39,0.2836,0.0368852459016
11.0,1.0,0.0,3.0,1.0,1.0,0.3,0.3333,0.87,0.0,0.00922131147541
11.0,18.0,0.0,1.0,1.0,1.0,0.46,0.4545,0.59,0.1045,0.434426229508
11.0,23.0,0.0,4.0,1.0,1.0,0.4,0.4091,0.82,0.0896,0.0963114754098
10.0,5.0,0.0,4.0,1.0,1.0,0.36,0.3485,0.5,0.1642,0.0420081967213
3.0,11.0,0.0,6.0,0.0,1.0,0.34,0.303,0.49,0.3284,0.120901639344
9.0,21.0,0.0,4.0,1.0,2.0,0.66,0.6212,0.57,0.194,0.180327868852
6.0,12.0,0.0,4.0,1.0,1.0,0.84,0.7121,0.26,0.2836,0.281762295082
9.0,8.0,0.0,0.0,0.0,1.0,0.48,0.4697,0.67,0.1045,0.146516393443
3.0,3.0,0.0,4.0,1.0,1.0,0.58,0.5455,0.28,0.2537,0.00409836065574
3.0,1.0,0.0,2.0,1.0,2.0,0.52,0.5,0.59,0.2239,0.015368852459
4.0,20.0,0.0,6.0,0.0,2.0,0.38,0.3939,0.66,0.0,0.103483606557
2.0,8.0,0.0,0.0,0.0,1.0,0.08,0.0758,0.53,0.2537,0.0256147540984
5.0,23.0,0.0,6.0,0.0,1.0,0.58,0.5455,0.78,0.0896,0.147540983607
9.0,11.0,0.0,4.0,1.0,1.0,0.62,0.6212,0.43,0.0,0.247950819672
4.0,21.0,0.0,4.0,1.0,1.0,0.46,0.4545,0.63,0.1343,0.147540983607
3.0,12.0,0.0,5.0,1.0,1.0,0.4,0.4091,0.43,0.1642,0.238729508197
12.0,1.0,0.0,3.0,1.0,1.0,0.52,0.5,0.55,0.3284,0.0102459016393
11.0,10.0,0.0,5.0,1.0,1.0,0.36,0.3485,0.71,0.1642,0.144467213115
6.0,3.0,0.0,2.0,1.0,1.0,0.54,0.5152,0.45,0.2836,0.00819672131148
11.0,14.0,0.0,0.0,0.0,1.0,0.46,0.4545,0.55,0.194,0.326844262295
11.0,23.0,0.0,5.0,1.0,1.0,0.32,0.303,0.53,0.2239,0.13012295082
7.0,15.0,0.0,4.0,1.0,1.0,0.86,0.7879,0.41,0.2537,0.169057377049
5.0,13.0,0.0,2.0,1.0,2.0,0.64,0.6061,0.73,0.0,0.247950819672
10.0,9.0,0.0,0.0,0.0,1.0,0.5,0.4848,0.77,0.0,0.188524590164
4.0,9.0,0.0,5.0,1.0,1.0,0.32,0.2879,0.7,0.3582,0.176229508197
12.0,17.0,0.0,6.0,0.0,1.0,0.28,0.2879,0.45,0.1343,0.0686475409836
12.0,1.0,0.0,3.0,1.0,1.0,0.28,0.2727,0.61,0.2239,0.0204918032787
9.0,13.0,0.0,5.0,1.0,2.0,0.54,0.5152,0.42,0.0,0.227459016393
10.0,8.0,0.0,0.0,0.0,3.0,0.42,0.4242,0.67,0.1343,0.0625
9.0,15.0,0.0,4.0,1.0,2.0,0.76,0.6818,0.45,0.0,0.302254098361
10.0,5.0,0.0,0.0,0.0,1.0,0.32,0.3485,0.87,0.0,0.00204918032787
7.0,12.0,0.0,3.0,1.0,2.0,0.74,0.697,0.66,0.0896,0.154713114754
3.0,6.0,0.0,1.0,1.0,1.0,0.2,0.1818,0.75,0.3881,0.0338114754098
11.0,18.0,0.0,5.0,1.0,2.0,0.46,0.4545,0.44,0.0,0.212090163934
11.0,11.0,0.0,2.0,1.0,3.0,0.3,0.2727,0.87,0.2985,0.0655737704918
2.0,7.0,0.0,1.0,1.0,1.0,0.18,0.2424,0.86,0.0,0.0963114754098
10.0,9.0,0.0,4.0,1.0,2.0,0.52,0.5,0.83,0.194,0.350409836066
11.0,17.0,0.0,2.0,1.0,2.0,0.4,0.4091,0.87,0.2985,0.361680327869
10.0,20.0,0.0,2.0,1.0,1.0,0.52,0.5,0.68,0.2239,0.266393442623
5.0,6.0,0.0,5.0,1.0,1.0,0.36,0.3636,0.81,0.0896,0.0829918032787
10.0,6.0,0.0,0.0,0.0,1.0,0.4,0.4091,0.62,0.0,0.0256147540984
7.0,2.0,0.0,1.0,1.0,2.0,0.74,0.7121,0.79,0.0896,0.00512295081967
6.0,22.0,0.0,4.0,1.0,1.0,0.76,0.697,0.52,0.1642,0.279713114754
2.0,3.0,0.0,2.0,1.0,2.0,0.26,0.303,0.52,0.0,0.00204918032787
8.0,23.0,0.0,6.0,0.0,3.0,0.7,0.6667,0.84,0.2836,0.109631147541
3.0,3.0,0.0,1.0,1.0,1.0,0.36,0.3485,0.5,0.1343,0.00102459016393
10.0,19.0,0.0,5.0,1.0,1.0,0.56,0.5303,0.52,0.0,0.300204918033
10.0,9.0,0.0,3.0,1.0,2.0,0.62,0.5758,0.83,0.194,0.36987704918
8.0,12.0,0.0,2.0,1.0,1.0,0.76,0.6818,0.48,0.3284,0.164959016393
5.0,0.0,0.0,1.0,1.0,1.0,0.46,0.4545,0.72,0.1343,0.180327868852
12.0,17.0,0.0,4.0,1.0,2.0,0.34,0.3333,0.66,0.194,0.485655737705
8.0,23.0,0.0,6.0,0.0,1.0,0.64,0.6061,0.65,0.0896,0.239754098361
7.0,10.0,0.0,3.0,1.0,3.0,0.7,0.6667,0.79,0.0896,0.0430327868852
11.0,17.0,0.0,6.0,0.0,1.0,0.26,0.2273,0.41,0.3881,0.128073770492
3.0,8.0,0.0,2.0,1.0,1.0,0.22,0.2273,0.55,0.194,0.262295081967
12.0,0.0,0.0,4.0,1.0,2.0,0.26,0.2273,0.87,0.2985,0.0204918032787
7.0,13.0,1.0,1.0,0.0,2.0,0.78,0.7121,0.49,0.0,0.43237704918
2.0,17.0,0.0,5.0,1.0,1.0,0.66,0.6212,0.34,0.3582,0.334016393443
12.0,4.0,0.0,5.0,1.0,2.0,0.24,0.2576,0.6,0.1045,0.0030737704918
12.0,22.0,0.0,0.0,0.0,3.0,0.36,0.3636,0.93,0.1045,0.078893442623
3.0,3.0,0.0,5.0,1.0,1.0,0.52,0.5,0.88,0.1045,0.00922131147541
12.0,0.0,0.0,4.0,1.0,1.0,0.28,0.2576,0.52,0.3284,0.0194672131148
12.0,10.0,0.0,4.0,1.0,2.0,0.22,0.2273,0.64,0.1642,0.111680327869
3.0,20.0,0.0,4.0,1.0,1.0,0.2,0.2273,0.4,0.0896,0.0706967213115
4.0,0.0,0.0,2.0,1.0,1.0,0.62,0.6212,0.5,0.1045,0.0215163934426
5.0,6.0,0.0,1.0,1.0,3.0,0.56,0.5303,0.88,0.2985,0.0799180327869
3.0,16.0,0.0,0.0,0.0,1.0,0.54,0.5152,0.73,0.0896,0.553278688525
5.0,12.0,0.0,0.0,0.0,2.0,0.72,0.6667,0.51,0.194,0.409836065574
7.0,20.0,1.0,1.0,0.0,2.0,0.76,0.697,0.55,0.1045,0.394467213115
2.0,20.0,0.0,0.0,0.0,1.0,0.28,0.2727,0.56,0.194,0.0502049180328
6.0,15.0,0.0,3.0,1.0,1.0,0.9,0.8333,0.39,0.2985,0.154713114754
1.0,2.0,0.0,4.0,1.0,1.0,0.16,0.2273,0.64,0.0,0.00102459016393
1.0,3.0,0.0,3.0,1.0,2.0,0.44,0.4394,0.51,0.4925,0.0030737704918
6.0,3.0,0.0,6.0,0.0,1.0,0.68,0.6364,0.83,0.0896,0.0276639344262
6.0,6.0,0.0,2.0,1.0,2.0,0.6,0.5455,0.88,0.1343,0.116803278689
3.0,22.0,0.0,5.0,1.0,2.0,0.36,0.3788,0.87,0.0,0.0758196721311
2.0,14.0,0.0,5.0,1.0,1.0,0.36,0.3485,0.46,0.2239,0.173155737705
11.0,18.0,0.0,6.0,0.0,1.0,0.36,0.3636,0.5,0.1045,0.276639344262
5.0,5.0,0.0,2.0,1.0,1.0,0.66,0.6061,0.83,0.0896,0.0256147540984
5.0,12.0,0.0,2.0,1.0,1.0,0.8,0.7576,0.55,0.3284,0.241803278689
12.0,14.0,0.0,5.0,1.0,1.0,0.38,0.3939,0.46,0.2836,0.190573770492
2.0,22.0,0.0,3.0,1.0,1.0,0.34,0.3485,0.49,0.1045,0.108606557377
5.0,3.0,0.0,5.0,1.0,1.0,0.44,0.4394,1.0,0.0,0.00409836065574
1.0,21.0,0.0,0.0,0.0,1.0,0.3,0.2879,0.33,0.2836,0.0696721311475
8.0,12.0,0.0,5.0,1.0,2.0,0.76,0.7273,0.66,0.1045,0.247950819672
8.0,15.0,0.0,4.0,1.0,1.0,0.8,0.697,0.33,0.2537,0.265368852459
9.0,7.0,0.0,5.0,1.0,1.0,0.4,0.4091,0.71,0.2836,0.305327868852
9.0,12.0,0.0,6.0,0.0,2.0,0.52,0.5,0.67,0.2239,0.38012295082
6.0,8.0,0.0,2.0,1.0,1.0,0.58,0.5455,0.49,0.3881,0.496926229508
5.0,4.0,0.0,6.0,0.0,1.0,0.4,0.4091,0.82,0.1045,0.00409836065574
1.0,16.0,0.0,2.0,1.0,1.0,0.42,0.4242,0.38,0.3582,0.24487704918
4.0,15.0,0.0,0.0,0.0,1.0,0.54,0.5152,0.32,0.5224,0.396516393443
8.0,3.0,0.0,2.0,1.0,1.0,0.56,0.5303,0.88,0.0,0.00204918032787
10.0,7.0,1.0,1.0,0.0,1.0,0.46,0.4545,0.88,0.0,0.115778688525
4.0,16.0,0.0,2.0,1.0,1.0,0.5,0.4848,0.23,0.194,0.36987704918
3.0,4.0,0.0,0.0,0.0,1.0,0.34,0.3333,0.66,0.1642,0.0122950819672
1.0,23.0,0.0,4.0,1.0,2.0,0.4,0.4091,0.82,0.0,0.0922131147541
2.0,11.0,0.0,5.0,1.0,2.0,0.28,0.2879,0.45,0.1045,0.155737704918
10.0,5.0,0.0,3.0,1.0,1.0,0.42,0.4242,0.71,0.2239,0.0204918032787
10.0,22.0,0.0,5.0,1.0,1.0,0.42,0.4242,0.54,0.1642,0.114754098361
6.0,22.0,0.0,0.0,0.0,1.0,0.64,0.5909,0.78,0.2239,0.132172131148
7.0,9.0,0.0,2.0,1.0,1.0,0.78,0.7273,0.55,0.4925,0.179303278689
7.0,5.0,0.0,6.0,0.0,1.0,0.74,0.7121,0.74,0.194,0.0133196721311
8.0,22.0,0.0,5.0,1.0,1.0,0.7,0.6515,0.65,0.2239,0.191598360656
12.0,0.0,0.0,0.0,0.0,2.0,0.36,0.3788,0.62,0.0,0.111680327869
10.0,12.0,0.0,2.0,1.0,2.0,0.62,0.6212,0.43,0.0896,0.204918032787
10.0,8.0,0.0,3.0,1.0,1.0,0.52,0.5,0.63,0.0,0.477459016393
11.0,5.0,1.0,5.0,0.0,1.0,0.3,0.2879,0.49,0.2537,0.0122950819672
5.0,6.0,0.0,4.0,1.0,2.0,0.6,0.5,1.0,0.0896,0.0993852459016
9.0,9.0,0.0,2.0,1.0,3.0,0.54,0.5152,0.94,0.2239,0.0696721311475
5.0,18.0,0.0,5.0,1.0,1.0,0.64,0.6212,0.38,0.2239,0.684426229508
12.0,20.0,0.0,6.0,0.0,1.0,0.3,0.3182,0.61,0.0896,0.129098360656
9.0,5.0,0.0,5.0,1.0,1.0,0.52,0.5,0.83,0.194,0.0256147540984
9.0,14.0,0.0,2.0,1.0,2.0,0.68,0.6364,0.79,0.1045,0.154713114754
5.0,23.0,0.0,3.0,1.0,1.0,0.46,0.4545,0.88,0.2537,0.0819672131148
8.0,6.0,0.0,2.0,1.0,1.0,0.68,0.6364,0.69,0.1045,0.118852459016
5.0,10.0,0.0,5.0,1.0,1.0,0.6,0.6212,0.46,0.1343,0.260245901639
3.0,17.0,0.0,5.0,1.0,3.0,0.36,0.3485,0.81,0.2239,0.13012295082
4.0,17.0,0.0,1.0,1.0,1.0,0.74,0.6667,0.48,0.5224,0.462090163934
5.0,9.0,1.0,1.0,0.0,1.0,0.72,0.697,0.74,0.0896,0.13012295082
1.0,15.0,0.0,1.0,1.0,3.0,0.22,0.2273,0.75,0.1642,0.0696721311475
5.0,17.0,0.0,1.0,1.0,1.0,0.58,0.5455,0.88,0.2239,0.279713114754
3.0,3.0,0.0,4.0,1.0,1.0,0.2,0.1667,0.27,0.4627,0.0
7.0,17.0,0.0,6.0,0.0,1.0,0.94,0.8788,0.38,0.1343,0.200819672131
1.0,0.0,0.0,6.0,0.0,1.0,0.36,0.3485,0.5,0.1642,0.0799180327869
7.0,16.0,0.0,0.0,0.0,1.0,0.84,0.803,0.53,0.2985,0.423155737705
7.0,5.0,0.0,4.0,1.0,2.0,0.72,0.7121,0.84,0.1045,0.0174180327869
8.0,0.0,0.0,3.0,1.0,1.0,0.7,0.6667,0.84,0.0,0.0584016393443
12.0,1.0,0.0,4.0,1.0,3.0,0.24,0.197,0.93,0.4478,0.00409836065574
3.0,5.0,0.0,4.0,1.0,2.0,0.48,0.4697,1.0,0.0896,0.0338114754098
11.0,2.0,0.0,2.0,1.0,1.0,0.32,0.3485,0.87,0.0,0.0
11.0,16.0,0.0,3.0,1.0,3.0,0.48,0.4697,0.94,0.1045,0.125
1.0,16.0,0.0,0.0,0.0,2.0,0.16,0.1515,0.8,0.194,0.157786885246
4.0,18.0,0.0,0.0,0.0,1.0,0.62,0.6061,0.25,0.3284,0.316598360656
8.0,17.0,0.0,3.0,1.0,1.0,0.78,0.6818,0.35,0.2239,0.890368852459
1.0,0.0,0.0,6.0,0.0,2.0,0.18,0.197,0.51,0.1642,0.0245901639344
2.0,22.0,0.0,5.0,1.0,2.0,0.32,0.3485,0.66,0.0,0.114754098361
7.0,14.0,0.0,4.0,1.0,1.0,0.86,0.7879,0.41,0.2537,0.162909836066
12.0,19.0,0.0,5.0,1.0,1.0,0.34,0.3182,0.53,0.2537,0.270491803279
4.0,16.0,0.0,6.0,0.0,1.0,0.38,0.3939,0.62,0.3284,0.199795081967
1.0,22.0,0.0,6.0,0.0,2.0,0.3,0.3182,0.42,0.1045,0.0256147540984
6.0,15.0,0.0,1.0,1.0,2.0,0.6,0.5909,0.69,0.194,0.241803278689
2.0,23.0,0.0,3.0,1.0,2.0,0.24,0.2424,0.87,0.1642,0.0604508196721
4.0,22.0,0.0,5.0,1.0,1.0,0.42,0.4242,0.58,0.1642,0.14856557377
9.0,14.0,0.0,3.0,1.0,1.0,0.78,0.7121,0.52,0.2239,0.126024590164
12.0,19.0,0.0,3.0,1.0,1.0,0.38,0.3939,0.43,0.3582,0.423155737705
5.0,4.0,0.0,0.0,0.0,1.0,0.5,0.4848,1.0,0.0,0.0112704918033
9.0,13.0,0.0,6.0,0.0,1.0,0.74,0.6667,0.51,0.3582,0.723360655738
3.0,13.0,0.0,6.0,0.0,1.0,0.32,0.303,0.33,0.2239,0.243852459016
9.0,8.0,0.0,2.0,1.0,1.0,0.6,0.5606,0.81,0.1045,0.434426229508
10.0,16.0,0.0,0.0,0.0,1.0,0.6,0.6212,0.46,0.3881,0.47643442623
10.0,15.0,0.0,2.0,1.0,1.0,0.54,0.5152,0.41,0.3284,0.353483606557
5.0,5.0,0.0,1.0,1.0,1.0,0.46,0.4545,0.88,0.1045,0.0225409836066
6.0,18.0,0.0,3.0,1.0,1.0,0.8,0.697,0.27,0.3284,0.822745901639
8.0,3.0,0.0,5.0,1.0,1.0,0.68,0.6364,0.79,0.2239,0.00512295081967
7.0,13.0,0.0,1.0,1.0,1.0,0.84,0.7879,0.49,0.2836,0.243852459016
9.0,21.0,0.0,0.0,0.0,1.0,0.72,0.697,0.74,0.2537,0.21106557377
1.0,23.0,0.0,4.0,1.0,1.0,0.18,0.197,0.8,0.1642,0.015368852459
6.0,16.0,0.0,1.0,1.0,1.0,0.66,0.6212,0.39,0.4627,0.457991803279
10.0,6.0,0.0,6.0,0.0,1.0,0.4,0.4091,0.71,0.0,0.0194672131148
3.0,22.0,0.0,4.0,1.0,1.0,0.42,0.4242,0.44,0.2836,0.154713114754
11.0,21.0,0.0,3.0,1.0,1.0,0.3,0.3333,0.56,0.0,0.217213114754
9.0,16.0,0.0,3.0,1.0,1.0,0.62,0.6212,0.35,0.0,0.47643442623
6.0,5.0,0.0,5.0,1.0,1.0,0.54,0.5152,1.0,0.0,0.0122950819672
6.0,1.0,0.0,2.0,1.0,1.0,0.6,0.6212,0.35,0.3881,0.0297131147541
9.0,20.0,0.0,5.0,1.0,1.0,0.6,0.5152,0.94,0.0,0.18237704918
6.0,11.0,0.0,4.0,1.0,2.0,0.68,0.6364,0.61,0.2985,0.152663934426
6.0,21.0,0.0,1.0,1.0,2.0,0.62,0.5909,0.73,0.1045,0.27868852459
12.0,4.0,0.0,0.0,0.0,2.0,0.26,0.2576,0.56,0.2239,0.00614754098361
8.0,11.0,0.0,5.0,1.0,3.0,0.68,0.6364,0.79,0.1343,0.256147540984
2.0,14.0,0.0,6.0,0.0,3.0,0.22,0.2727,1.0,0.0,0.0553278688525
3.0,2.0,0.0,6.0,0.0,2.0,0.44,0.4394,0.88,0.0,0.0420081967213
3.0,14.0,0.0,0.0,0.0,1.0,0.36,0.3333,0.34,0.3582,0.339139344262
12.0,17.0,0.0,0.0,0.0,1.0,0.28,0.2727,0.46,0.1642,0.138319672131
10.0,1.0,0.0,2.0,1.0,1.0,0.46,0.4545,0.77,0.1642,0.016393442623
7.0,7.0,0.0,5.0,1.0,2.0,0.7,0.6515,0.54,0.0,0.388319672131
7.0,3.0,0.0,3.0,1.0,1.0,0.74,0.697,0.66,0.1343,0.0030737704918
4.0,22.0,0.0,4.0,1.0,2.0,0.4,0.4091,0.76,0.194,0.0819672131148
11.0,3.0,0.0,1.0,1.0,1.0,0.44,0.4394,0.88,0.2239,0.00409836065574
7.0,6.0,0.0,6.0,0.0,1.0,0.72,0.6818,0.7,0.2985,0.0235655737705
7.0,21.0,0.0,5.0,1.0,1.0,0.82,0.7727,0.52,0.1343,0.306352459016
6.0,2.0,0.0,0.0,0.0,1.0,0.64,0.5758,0.89,0.2537,0.0665983606557
11.0,22.0,0.0,2.0,1.0,2.0,0.46,0.4545,0.88,0.1045,0.13012295082
11.0,14.0,0.0,5.0,1.0,1.0,0.5,0.4848,0.36,0.2537,0.444672131148
10.0,9.0,0.0,2.0,1.0,2.0,0.6,0.5909,0.69,0.0,0.239754098361
9.0,10.0,0.0,2.0,1.0,3.0,0.68,0.6364,0.79,0.6418,0.162909836066
6.0,3.0,0.0,3.0,1.0,1.0,0.66,0.6061,0.83,0.1343,0.00717213114754
12.0,4.0,0.0,2.0,1.0,2.0,0.36,0.3636,0.53,0.1045,0.0030737704918
1.0,18.0,0.0,2.0,1.0,3.0,0.16,0.1818,0.93,0.1045,0.0963114754098
6.0,3.0,0.0,2.0,1.0,1.0,0.6,0.5909,0.73,0.0896,0.00102459016393
6.0,3.0,0.0,5.0,1.0,1.0,0.54,0.5152,0.6,0.0896,0.00717213114754
8.0,23.0,0.0,1.0,1.0,1.0,0.74,0.697,0.66,0.1045,0.0727459016393
6.0,13.0,0.0,4.0,1.0,1.0,0.68,0.6364,0.57,0.1642,0.289959016393
2.0,11.0,0.0,3.0,1.0,2.0,0.14,0.1515,0.43,0.1642,0.0409836065574
6.0,2.0,0.0,1.0,1.0,1.0,0.66,0.6212,0.74,0.1045,0.016393442623
6.0,22.0,0.0,4.0,1.0,3.0,0.62,0.5758,0.83,0.2537,0.15368852459
7.0,1.0,0.0,1.0,1.0,2.0,0.7,0.6667,0.74,0.194,0.0102459016393
12.0,23.0,0.0,6.0,0.0,1.0,0.2,0.2121,0.47,0.1642,0.0665983606557
8.0,6.0,0.0,4.0,1.0,1.0,0.66,0.6061,0.83,0.0,0.186475409836
12.0,23.0,0.0,5.0,1.0,1.0,0.32,0.303,0.53,0.2836,0.0963114754098
8.0,21.0,0.0,3.0,1.0,1.0,0.64,0.6061,0.73,0.0,0.358606557377
6.0,13.0,0.0,2.0,1.0,2.0,0.6,0.6212,0.46,0.1642,0.272540983607
8.0,0.0,0.0,5.0,1.0,1.0,0.72,0.6818,0.7,0.194,0.0717213114754
2.0,13.0,0.0,0.0,0.0,1.0,0.32,0.3333,0.36,0.0,0.331967213115
2.0,19.0,0.0,4.0,1.0,1.0,0.2,0.2576,0.4,0.0,0.0973360655738
7.0,5.0,0.0,5.0,1.0,1.0,0.6,0.5909,0.73,0.1343,0.0225409836066
9.0,4.0,0.0,6.0,0.0,1.0,0.52,0.5,0.59,0.2537,0.0133196721311
1.0,12.0,0.0,5.0,1.0,3.0,0.18,0.2121,0.93,0.1045,0.0286885245902
9.0,20.0,0.0,2.0,1.0,1.0,0.58,0.5455,0.56,0.1343,0.47131147541
12.0,22.0,0.0,5.0,1.0,2.0,0.34,0.3333,0.71,0.1642,0.0860655737705
12.0,9.0,0.0,2.0,1.0,3.0,0.32,0.3333,0.66,0.1045,0.105532786885
6.0,17.0,0.0,1.0,1.0,2.0,0.6,0.5909,0.73,0.194,0.739754098361
